state,crop,crop_equivalent_low,crop_equivalent_kg_person_year,crop_equivalent_high
22. Kogi,Sorghum,2.764198203117227,2.764198203117227,2.764198203117227
22. Kogi,Soybean,0.0749075893984193,0.0749075893984193,0.0749075893984193
22. Kogi,Sweet potato,0.17866167346393047,0.17866167346393047,0.17866167346393047
22. Kogi,Wheat,0.06993521253866221,0.07823261063646961,0.08238130968537329
22. Kogi,Yam,58.1948649213937,58.61792891328975,59.13970783662821
23. Kwara,Cassava,54.7414225806534,65.29104255183135,80.4338918837058
23. Kwara,Cocoyam,0.00384700924340968,0.00384700924340968,0.00384700924340968
23. Kwara,Cowpea,14.855812127082856,14.855812127082856,14.855812127082856
23. Kwara,Groundnut,0.10505653736494576,0.10709653235710846,0.10913652734927115
23. Kwara,Maize,9.827828156611016,10.541262034634043,11.393909398076227
23. Kwara,Millet,3.3541009042843455,3.3541009042843455,3.3541009042843455
23. Kwara,Plantain,2.3619873551653656,2.3619873551653656,2.3619873551653656
23. Kwara,Potato,0,0,0
23. Kwara,Rice,26.963975416430173,26.963975416430173,26.963975416430173
23. Kwara,Sorghum,18.099525250348403,18.099525250348403,18.099525250348403
23. Kwara,Soybean,0.18895732972004334,0.18895732972004334,0.18895732972004334
23. Kwara,Sweet potato,5.009089814491179,5.009089814491179,5.009089814491179
23. Kwara,Wheat,1.3837192944301502,1.5478893802099987,1.6299744230999227
23. Kwara,Yam,86.95920262379116,89.59956656234613,92.85601541989723
24. Lagos,Cassava,68.85111530230668,87.28502061496029,114.74769572705789
24. Lagos,Cocoyam,0.7664496017704039,0.7664496017704039,0.7664496017704039
24. Lagos,Cowpea,21.33491099136285,21.33491099136285,21.33491099136285
24. Lagos,Groundnut,0.365092512096336,0.3738269893560666,0.38256146661579726
24. Lagos,Maize,1.2861462742339391,1.3653112139864367,1.4525456320937677
24. Lagos,Millet,0.3886156164499449,0.3886156164499449,0.3886156164499449
24. Lagos,Plantain,6.3849010441384495,6.3849010441384495,6.3849010441384495
24. Lagos,Potato,0.701837051114672,0.701837051114672,0.701837051114672
24. Lagos,Rice,25.500216725727206,25.500216725727206,25.500216725727206
24. Lagos,Sorghum,0.10321091363786032,0.10321091363786032,0.10321091363786032
24. Lagos,Soybean,0.023395315875760176,0.023395315875760176,0.023395315875760176
24. Lagos,Sweet potato,2.9800088322512153,2.9800088322512153,2.9800088322512153
24. Lagos,Wheat,4.691872030851191,5.248534814172519,5.526866205833182
24. Lagos,Yam,40.70501348445562,41.944814830401086,43.473903157067156
25. Nasarawa,Cassava,52.22149713197642,61.757933354723626,75.46018332534712
25. Nasarawa,Cocoyam,1.0931216664535495,1.0931216664535495,1.0931216664535495
25. Nasarawa,Cowpea,8.590228617747306,8.590228617747306,8.590228617747306
25. Nasarawa,Groundnut,2.5373397345902546,2.729908899312536,2.9224780640348174
25. Nasarawa,Maize,25.10451182116808,27.186221818698897,29.67842527709163
25. Nasarawa,Millet,0.9468030294457319,0.9468030294457319,0.9468030294457319
25. Nasarawa,Plantain,0.028888884930749377,0.028888884930749377,0.028888884930749377
25. Nasarawa,Potato,0,0,0
25. Nasarawa,Rice,24.390053967783277,24.390053967783277,24.390053967783277
25. Nasarawa,Sorghum,10.847155568892909,10.847155568892909,10.847155568892909
25. Nasarawa,Soybean,0.2643932432970245,0.2643932432970245,0.2643932432970245
25. Nasarawa,Sweet potato,2.4031362743458438,2.4031362743458438,2.4031362743458438
25. Nasarawa,Wheat,0.048722161039924286,0.054502756417542424,0.05739305410635148
25. Nasarawa,Yam,9.802061017962926,9.996029984023203,10.235258375497544
26. Niger,Cassava,115.92828290290244,126.0357069272804,140.5140453489312
26. Niger,Cocoyam,0.0918629519934607,0.0918629519934607,0.0918629519934607
26. Niger,Cowpea,13.773893418009992,13.773893418009992,13.773893418009992
26. Niger,Groundnut,1.2654050949874638,1.3252767016144937,1.385148308241524
26. Niger,Maize,25.896471856116673,27.671489859092073,29.820339400598023
26. Niger,Millet,16.04180691437024,16.04180691437024,16.04180691437024
26. Niger,Plantain,0.178848253369125,0.178848253369125,0.178848253369125
26. Niger,Potato,0.17880896103606714,0.17880896103606714,0.17880896103606714
26. Niger,Rice,30.904784969799586,30.904784969799586,30.904784969799586
26. Niger,Sorghum,29.642354652102686,29.642354652102686,29.642354652102686
26. Niger,Soybean,3.2167546535017566,3.2167546535017566,3.2167546535017566
26. Niger,Sweet potato,5.1572119646145325,5.1572119646145325,5.1572119646145325
26. Niger,Wheat,0.25883238023817823,0.2895413067071147,0.30489576994158285
26. Niger,Yam,19.084763854946427,19.304963448517533,19.576542947255234
27. Ogun,Cassava,111.00222770875142,135.49029495858292,171.15378531792499
27. Ogun,Cocoyam,1.7648346014812162,1.7648346014812162,1.7648346014812162
27. Ogun,Cowpea,13.015935346277537,13.015935346277537,13.015935346277537
27. Ogun,Groundnut,0.2839690347384872,0.28854695207161024,0.2931248694047333
27. Ogun,Maize,4.975457270887505,5.353143664330964,5.79313920428324
27. Ogun,Millet,0.019797431168971667,0.019797431168971667,0.019797431168971667
27. Ogun,Plantain,6.089681474664086,6.089681474664086,6.089681474664086
27. Ogun,Potato,0,0,0
27. Ogun,Rice,20.823432936014665,20.823432936014665,20.823432936014665
27. Ogun,Sorghum,0,0,0
27. Ogun,Soybean,0.032354082045972454,0.032354082045972454,0.032354082045972454
27. Ogun,Sweet potato,1.1185803835344097,1.1185803835344097,1.1185803835344097
27. Ogun,Wheat,3.5836148431800066,4.008789485591194,4.221376806796787
27. Ogun,Yam,44.00784868301637,45.23167877546399,46.741069222816066
28. Ondo,Cassava,128.47104177200544,154.35454059103958,191.5556384835647
28. Ondo,Cocoyam,2.6702466565152796,2.6702466565152796,2.6702466565152796
28. Ondo,Cowpea,11.292944201534617,11.292944201534617,11.292944201534617
28. Ondo,Groundnut,0.23906103665833717,0.2391332777325749,0.23920551880681262
28. Ondo,Maize,5.6502452883611625,6.028939949188149,6.409646251618042
28. Ondo,Millet,0,0,0
28. Ondo,Plantain,10.282913713248739,10.282913713248739,10.282913713248739
28. Ondo,Potato,0,0,0
28. Ondo,Rice,28.363347188769946,28.363347188769946,28.363347188769946
28. Ondo,Sorghum,0,0,0
28. Ondo,Soybean,0.012521785244338654,0.012521785244338654,0.012521785244338654
28. Ondo,Sweet potato,0.21286896703413222,0.21286896703413222,0.21286896703413222
28. Ondo,Wheat,0.9585991072488723,1.0723312047190776,1.12919725345418
28. Ondo,Yam,92.19454590749145,93.16043496291174,94.35169813126342
29. Osun,Cassava,90.94421779184101,108.42611061523084,133.4238353036618
29. Osun,Cocoyam,4.714118584694395,4.714118584694395,4.714118584694395
29. Osun,Cowpea,12.568952185301942,12.568952185301942,12.568952185301942
29. Osun,Groundnut,0.7756819946984973,0.7759696822664229,0.7762573698343486
29. Osun,Maize,9.889700157837076,10.362222988307346,10.84812020707904
29. Osun,Millet,0,0,0
29. Osun,Plantain,11.766567801402065,11.766567801402065,11.766567801402065
29. Osun,Potato,0,0,0
29. Osun,Rice,20.253920277673707,20.253920277673707,20.253920277673707
29. Osun,Sorghum,0.014694317921328462,0.014694317921328462,0.014694317921328462
29. Osun,Soybean,0.036269280844587186,0.036269280844587186,0.036269280844587186
29. Osun,Sweet potato,4.4613085957852965,4.4613085957852965,4.4613085957852965
29. Osun,Wheat,0.5726289333928737,0.6405679593886384,0.6745374723865206
29. Osun,Yam,101.67493030417316,103.53867333857703,105.83728974767511
3. Akwa Ibom,Cassava,218.61761148227328,261.5368742858096,325.67857502272363
3. Akwa Ibom,Cocoyam,5.293185505933452,5.293185505933452,5.293185505933452
3. Akwa Ibom,Cowpea,12.811774008214947,12.811774008214947,12.811774008214947
3. Akwa Ibom,Groundnut,1.7384857879913278,1.7542065479108433,1.7699273078303588
3. Akwa Ibom,Maize,1.589213053761185,1.6864781519378256,1.7837432501144657
3. Akwa Ibom,Millet,0.07103809011720055,0.07103809011720055,0.07103809011720055
3. Akwa Ibom,Plantain,22.000491203040845,22.000491203040845,22.000491203040845
3. Akwa Ibom,Potato,0.0072642725783930795,0.0072642725783930795,0.0072642725783930795
3. Akwa Ibom,Rice,20.46504442411583,20.46504442411583,20.46504442411583
3. Akwa Ibom,Sorghum,0.07435986357604918,0.07435986357604918,0.07435986357604918
3. Akwa Ibom,Soybean,0.023935285533321547,0.023935285533321547,0.023935285533321547
3. Akwa Ibom,Sweet potato,1.240521271514098,1.240521271514098,1.240521271514098
3. Akwa Ibom,Wheat,0.09800003365930626,0.10962715629685109,0.11544071761562348
3. Akwa Ibom,Yam,15.61917790171473,15.61917790171473,15.61917790171473
30. Oyo,Cassava,55.35304230061957,65.74061955892002,80.57005186058053
30. Oyo,Cocoyam,0.3669650371384153,0.3669650371384153,0.3669650371384153
30. Oyo,Cowpea,12.207071865338198,12.207071865338198,12.207071865338198
30. Oyo,Groundnut,0.21515368684619057,0.2205256160518513,0.22589754525751204
30. Oyo,Maize,9.996271628347126,10.714954883026595,11.532899806673779
30. Oyo,Millet,1.0248300588805528,1.0248300588805528,1.0248300588805528
30. Oyo,Plantain,1.484042906288777,1.484042906288777,1.484042906288777
30. Oyo,Potato,0,0,0
30. Oyo,Rice,17.33664157404291,17.33664157404291,17.33664157404291
30. Oyo,Sorghum,4.400168567811181,4.400168567811181,4.400168567811181
30. Oyo,Soybean,0.0407247541292002,0.0407247541292002,0.0407247541292002
30. Oyo,Sweet potato,2.294582331751341,2.294582331751341,2.294582331751341
30. Oyo,Wheat,0.04405941243929451,0.04928680035582098,0.05190049431408421
30. Oyo,Yam,80.71154101032641,82.36251262915668,84.39871095904735
31. Plateau,Cassava,15.74338504179353,17.74428782502416,20.595468549544297
31. Plateau,Cocoyam,1.5253297278715412,1.5253297278715412,1.5253297278715412
31. Plateau,Cowpea,11.190203412965072,11.190203412965072,11.190203412965072
31. Plateau,Groundnut,1.3790649722580801,1.4016127217737755,1.424160471289471
31. Plateau,Maize,44.489448748263335,48.141679941950585,52.584058952982765
31. Plateau,Millet,6.05750371702642,6.05750371702642,6.05750371702642
31. Plateau,Plantain,0.07892494498208498,0.07892494498208498,0.07892494498208498
31. Plateau,Potato,10.355461490247512,10.355461490247512,10.355461490247512
31. Plateau,Rice,25.762439707056853,25.762439707056853,25.762439707056853
31. Plateau,Sorghum,22.03953683963989,22.03953683963989,22.03953683963989
31. Plateau,Soybean,0.9632289750813368,0.9632289750813368,0.9632289750813368
31. Plateau,Sweet potato,8.31564715661323,8.31564715661323,8.31564715661323
31. Plateau,Wheat,0.2765733289160585,0.3093871137027096,0.32579400609603504
31. Plateau,Yam,28.254747009452284,28.322522635586076,28.406112574484418
32. Rivers,Cassava,280.495273382917,337.586297574288,423.11707997325937
32. Rivers,Cocoyam,3.127559044807948,3.127559044807948,3.127559044807948
32. Rivers,Cowpea,25.46445896652172,25.46445896652172,25.46445896652172
32. Rivers,Groundnut,1.8123434850762128,1.8595194807356978,1.9066954763951829
32. Rivers,Maize,5.0345025660468385,5.368782417197284,5.707429534128408
32. Rivers,Millet,0.2115812341914163,0.2115812341914163,0.2115812341914163
32. Rivers,Plantain,24.21811379844768,24.21811379844768,24.21811379844768
32. Rivers,Potato,0.44786787277258416,0.44786787277258416,0.44786787277258416
32. Rivers,Rice,38.97071826979385,38.97071826979385,38.97071826979385
32. Rivers,Sorghum,0.06992268378311997,0.06992268378311997,0.06992268378311997
32. Rivers,Soybean,0.1587193539935809,0.1587193539935809,0.1587193539935809
32. Rivers,Sweet potato,6.3907528705344765,6.3907528705344765,6.3907528705344765
32. Rivers,Wheat,0.30463454116669,0.34077762232206,0.35884916289974494
32. Rivers,Yam,40.797615478855,41.17286422879782,41.635671020393964
33. Sokoto,Cassava,72.45705287970951,79.346580822181,89.64427391049648
33. Sokoto,Cocoyam,0.14038869637623438,0.14038869637623438,0.14038869637623438
33. Sokoto,Cowpea,6.399759052178937,6.399759052178937,6.399759052178937
