zone,product,Post-Harvest,Post-Planting,difference_post_harvest_minus_post_planting,ratio_post_harvest_to_post_planting
2. North East,Other domestic poultry,0,0,0,NA
2. North East,Other eggs,0,4.905186878335881e-5,-4.905186878335881e-5,0
2. North East,Other fish/seafood,0,0,0,NA
2. North East,Other fruits,0,0,0,NA
2. North East,Other grains/flour,0,6.982929245775884e-4,-6.982929245775884e-4,0
2. North East,Other meat,0,0,0,NA
2. North East,Other milk products,NA,0,NA,NA
2. North East,Other non-alcoholic drinks,3.668174622738974e-4,1.5642066813310594e-4,2.1039679414079147e-4,2.3450702944303665
2. North East,Other nuts/seeds/pulses,4.868276789152067e-4,4.165480975538553e-4,7.027958136135144e-5,1.1687190069383646
2. North East,Other oil/fat,0.002540396589600379,0.004949435526906137,-0.0024090389373057582,0.5132699629665377
2. North East,Other roots/tubers,NA,0,NA,NA
2. North East,Other spices,0.02177957252061172,0.01535155018749568,0.00642802233311604,1.418721383482944
2. North East,Other sweets,NA,0,NA,NA
2. North East,Other vegetables,0.0016441751705361385,0.006056139385831153,-0.0044119642152950144,0.27148899088796147
2. North East,Palm oil,0.06553210415438701,0.06584827356506054,-3.16169410673528e-4,0.9951985163231175
2. North East,Palm wine,0.00198106374303159,0.002720129038496426,-7.390652954648359e-4,0.7282977075700201
2. North East,Pawpaw,5.520138762503959e-4,0,5.520138762503959e-4,NA
2. North East,Pineapples,0.009669010625334285,0.0034454477001444636,0.006223562925189821,2.806314727960861
2. North East,Pito,0.0015703775584841686,0.003672896408357769,-0.0021025188498736006,0.4275583582784242
2. North East,Plantains,0.0010253947825935163,9.56065560410279e-4,6.932922218323722e-5,1.0725151339553385
2. North East,Pork,0.001176281098198881,8.813108353813297e-4,2.9497026281755134e-4,1.3346949237154473
2. North East,Potatoes,0.0033468268167334454,0.009394953121988904,-0.006048126305255459,0.35623667018627175
2. North East,Rice - imported,0.00449952221217928,0.006336834302549249,-0.0018373120903699691,0.7100583662680219
2. North East,Rice - local,0.37027693928551314,0.4099743147763904,-0.03969737549087726,0.903171066917865
2. North East,Sachet water,0.4184864357238597,0.33095843652064283,0.08752799920321686,1.2644682520361057
2. North East,Salt,0.023306456951580967,0.03527715631501224,-0.011970699363431276,0.660667111131712
2. North East,Seafood,3.950068051364567e-5,0,3.950068051364567e-5,NA
2. North East,Shea butter,NA,0,NA,NA
2. North East,Snails,0,0,0,NA
2. North East,Soft drinks,0.033397052368309664,0.021316607478913008,0.012080444889396656,1.5667151727284454
2. North East,Soya beans,0.020973539849310566,0.012594215530637254,0.008379324318673312,1.665331183056967
2. North East,Sugar,0.021497772510482113,0.03316508676896399,-0.01166731425848188,0.6482049228527816
2. North East,Sweet potatoes,0.13210485319496523,0.06591476541208324,0.06619008778288199,2.0041769453183593
2. North East,Tea,0.0018776937571316973,0.0019126906438621065,-3.499688673040918e-5,0.9817027981797708
2. North East,Tomato puree - canned,0.0032022096051954976,0.0024568689471876387,7.453406580078589e-4,1.3033701324855138
