survey_period,product,zone,estimate_kg_person_week,se,cv,ci_low,ci_high,estimate_kg_person_year_equivalent
Post-Planting,Groundnut oil,2. North East,0.03813978357080744,0.00412703328753311,0.1082080940462384,0.030050798327242542,0.04622876881437234,1.9887172861921023
Post-Planting,Groundnuts - shelled,2. North East,0.016324966895391584,0.003068911625019544,0.18798884216334152,0.010309900110353277,0.022340033680429888,0.8512304166882754
Post-Planting,Groundnuts - unshelled,2. North East,0.02200910244040797,0.007888657185719775,0.3584270284115024,0.0065473343563972105,0.03747087052441873,1.1476174843927012
Post-Planting,Guava,2. North East,0.004684703816979025,0.0019630039304019847,0.41902412769135233,8.372161133911355e-4,0.008532191520566916,0.2442738418853349
Post-Planting,Guinea corn / sorghum,2. North East,0.5590863095639959,0.07387544576237301,0.13213603069619942,0.4142904358697448,0.7038821832582469,29.15235757012264
Post-Planting,Honey,2. North East,2.9572898665085486e-4,1.9353971989606586e-4,0.6544496097183864,0,6.750668376471439e-4,0.015420154303937433
Post-Planting,Kola nut,2. North East,0.0039710038221790955,0.0013180291281838354,0.3319133365780959,0.0013876667309387783,0.006554340913419413,0.20705948501362426
Post-Planting,Leaves,2. North East,0.08228008303546294,0.0099328950122415,0.12072052732324534,0.0628116088114696,0.10174855725945628,4.290318615420568
Post-Planting,Local eggs,2. North East,9.264409213373104e-4,3.059613974604426e-4,0.33025462327245825,3.267565823148429e-4,0.001526125260359778,0.04830727661258833
Post-Planting,Maize - shelled/off cob,2. North East,0.13293475186029077,0.03304100272386725,0.24855052769491046,0.06817438652151096,0.19769511719907057,6.931597775572305
Post-Planting,Maize - unshelled/on cob,2. North East,0.06566604696304175,0.019356197901442936,0.29476721679831003,0.027727899076213598,0.10360419484986991,3.424015305930034
Post-Planting,Maize flour,2. North East,0.4161016769717987,0.03549548765096054,0.0853048416177526,0.346530521175916,0.48567283276768136,21.69673029924379
Post-Planting,Malt drinks,2. North East,0.003788262445053171,9.279449635456016e-4,0.24495266022483222,0.001969490316503792,0.00560703457360255,0.1975308274920582
Post-Planting,Mangoes,2. North East,9.02682750692075e-5,9.150714712894141e-5,1.013724335141932,0,2.6962228344193265e-4,0.004706845771465819
Post-Planting,Meat pie/Sausage roll,2. North East,0,0,NA,0,0,0
Post-Planting,Melon - ground,2. North East,8.210313920318341e-5,4.952028864084285e-5,0.6031473232502513,0,1.7916290493923538e-4,0.0042810922584517064
Post-Planting,Melon - shelled,2. North East,1.054393170058607e-4,5.52800520376272e-5,0.524283100530275,0,2.1378821899961e-4,0.005497907243877022
Post-Planting,Melon - unshelled,2. North East,0,0,NA,0,0,0
Post-Planting,Milk - tinned,2. North East,1.8619158176198853e-5,1.893384513698047e-5,1.0169012453626332,0,5.572949464468057e-5,9.708561049017973e-4
Post-Planting,Milk powder,2. North East,8.788353776239869e-4,3.872196613374741e-4,0.44060545489686415,1.1988484140253771e-4,0.001637785913845436,0.04582498754753646
Post-Planting,Millet,2. North East,0.3030458335374629,0.05198341035872909,0.17153646282453455,0.20115834923435388,0.4049333178405719,15.801675605881995
