product,zone,estimate_kg_person_year,se,cv,ci_low,ci_high
Cassava roots,3. North West,14.238734766764553,3.311534237786594,0.23257222583541873,7.7481276607028295,20.729341872826275
Cheese/wara,3. North West,1.4941272147010174,0.3134451484763635,0.20978477963075287,0.8797747236873449,2.10847970571469
Chicken,3. North West,0.9875668163505318,0.19028964559550474,0.19268533778676744,0.6145991109833425,1.360534521717721
Chocolate drinks,3. North West,0.02661178002740018,0.0052285278927804045,0.19647418877643572,0.016363865357550588,0.03685969469724977
Coconut,3. North West,0,0,NA,0,0
Cocoyam,3. North West,0.25336266999460866,0.23778444502228435,0.9385141269127935,0,0.719420182238286
Coffee,3. North West,2.6036079805896755e-4,1.2341972472226453e-4,0.4740334399125322,1.8458137603329073e-5,5.02263458514606e-4
Dry pepper,3. North West,0.2917751817588789,0.049640993773967176,0.17013439414113765,0.19447883396190324,0.38907152955585456
Duck,3. North West,0,0,NA,0,0
Fish - dried,3. North West,0.2990238073559598,0.0680663701146879,0.22762859825960705,0.16561372193117152,0.43243389278074806
Fish - fresh,3. North West,2.079870955697868,0.4616781568578216,0.2219744237463582,1.1749817682565378,2.9847601431391984
Fish - frozen,3. North West,0.4025857222670133,0.08263843564380967,0.20526916647332086,0.24061438840514635,0.5645570561288802
Fish - smoked,3. North West,0.12351158044488265,0.04052036594004981,0.32806936640351814,0.04409166320238503,0.20293149768738028
Fresh milk,3. North West,1.9827731621751388,0.4529408314896302,0.22843804835079862,1.0950091324554636,2.870537191894814
Fresh pepper,3. North West,2.4241745112020183,0.22978404490974924,0.09478857394462564,1.9737977831789097,2.8745512392251267
Fruit juice,3. North West,0,0,NA,0,0
Garden eggs/Eggplant,3. North West,0.25303925276422257,0.07749176423476827,0.30624404470152977,0.10115539486407676,0.40492311066436837
Gari - white,3. North West,3.763415322030624,0.5029243418722738,0.1336350890979822,2.777683611960968,4.74914703210028
Gari - yellow,3. North West,1.3537178677495116,0.4040792275339702,0.2984958957553923,0.5617225817829301,2.145713153716093
Gin,3. North West,0,0,NA,0,0
Goat,3. North West,0.2517269705046822,0.048984802188856286,0.19459496966355125,0.15571675821452385,0.3477371827948405
Ground pepper,3. North West,0.08135226396706907,0.010869882323833647,0.13361499476196154,0.060047294612355126,0.10265723332178302
Groundnut oil,3. North West,2.7341580506280305,0.15329176241098125,0.05606543571092038,2.4337061963025075,3.0346099049535535
Groundnuts - shelled,3. North West,0.4943142734502739,0.12321358482990982,0.24926163667071335,0.2528156471836507,0.7358128997168971
Groundnuts - unshelled,3. North West,0.3665390179259798,0.11772287621106044,0.3211742009818824,0.13580218055230137,0.5972758552996582
Guava,3. North West,0.02875115482826654,0.017672457678180584,0.6146694901036116,0,0.06338917187750048
